,T,f,df,temperatura,dtemperatura,P,dP,E,dE,virial,dvirial,KEtotal,dKEtotal,KEt,dKEt,KEr,dKEr,Cv1,dCv1,dfdT,ddfdT
0,298.0,-1.3501863603430828,0.0002171316794827779,298.02696729970074,0.011665380784600441,-9.102223220402362,0.0002990649139551781,-6615.816654312154,0.2921338552187729,-1.7767789145222408,0.001615531419878794,1603.490913671996,0.06276389100662076,801.2642455682095,0.07068842522570432,802.2266680109813,0.07570993562565581,17.326991295674816,0.08102006869914422,37.48939728245253,0.0016554150047089402
1,298.0,-5.317118466058809,0.0008876052361563572,297.994278623877,0.012384455682128332,-9.101926144767086,0.0002961511530128565,-6615.72427153958,0.2877353158168238,-1.7750420618981904,0.0015918967873165691,1603.3150369882908,0.06663276929930365,801.2175619134622,0.07739670863216212,802.0974751812262,0.08177072078556498,17.41556994995335,0.07943437614436274,37.488873783292256,0.0016304901012962753
2,298.0,-11.706137706506123,0.002337675572127944,297.972363002321,0.017072283481824508,-9.1004465991241,0.00033027080509784264,-6614.506157051076,0.3222341286495368,-1.7793066945990352,0.0017960566158182088,1603.197123162066,0.0918549475126841,801.518987428701,0.08182999262793625,801.6781356880035,0.09739975223833836,17.266547147970414,0.09455258835658256,37.48197117695032,0.0018259821724563002
3,298.0,-20.151579380902973,0.00543871828095983,297.784966484293,0.037068425027485634,-9.097142741905195,0.00041622752094343484,-6612.531031956201,0.41715326167293376,-1.7768735488917016,0.0028603984168112852,1602.188863350432,0.1994412896746582,801.7331331117474,0.12227578542196735,800.4557297484705,0.16594188080255812,17.52123988751555,0.155656929758861,37.47077887020525,0.0023638539535510397
4,298.0,-30.132927207696618,0.02031790191089648,297.56465916243366,0.12215722340926416,-9.08971755346922,0.001146533821162995,-6607.011409768194,1.1071293023061073,-1.7854133848332254,0.010941823656120368,1601.003531727533,0.657249240065282,801.9891523696818,0.38239664436337867,799.0143797988661,0.690371958762138,17.39796955769998,0.724084295689237,37.43950120338533,0.0062736941519885535
5,298.0,-40.67007951259517,0.045177184336605676,296.9521988765946,0.24442793096384907,-9.073529221576974,0.001924485138331996,-6595.688614182455,2.173127357066055,-1.8151111971438758,0.023147829054201586,1597.7082779046118,1.3151090651255708,806.0699185663186,0.8323810089008898,791.6383581284033,0.9623197715750491,16.939645118953194,0.8729428670699357,37.37533908943298,0.012314312668413032
6,298.0,-50.406993864853284,0.12056810151329996,294.93734822605177,0.43428518056532023,-9.037217085685224,0.005916661708921623,-6573.739323691864,6.291968675811387,-1.7126759672626903,0.0838982472156168,1586.8676659297148,2.336608486478953,806.2752460339475,2.154026513183014,780.5924242330143,1.9214194282243304,16.80767288946663,2.2212064290989177,37.250960541134894,0.035654270019024124
7,298.0,-57.885913431379066,0.3577080886929769,295.78206283392745,2.7240512663557865,-9.011988251692655,0.018651350036325946,-6546.412838291702,6.370834941150443,-1.7472290141594284,0.09665012384608793,1591.412530478876,14.65636312556688,819.3780322383091,7.943275703391123,772.0344897640521,6.7991118876575865,8.549026469496312,3.2072763591125457,37.09611140896733,0.03610117611619895
8,298.0,-63.303433344647985,0.8595952998082396,291.21798879917867,0.6839207113992899,-8.910653805104339,0.003092897493048165,-6479.464398860542,3.842747639216452,-1.6795030655928953,0.030608321383927994,1566.8561914658144,3.6797362892482064,832.0114562472139,10.673920879317963,734.8447375009905,7.061812465127629,3.7834465866035316,3.7892498916030153,36.716739250635385,0.02177543627704489
9,298.0,-54.07539232861982,0.481806028822231,286.29755566024625,1.4418774962681975,-8.843125117757747,0.02996097426768351,-6444.959487078331,22.896953652266255,-1.7561364836216113,0.1842701823457541,1540.3825139288604,7.757812941841504,808.1513477846325,3.1192685217426828,732.2311716970532,6.9172445900023565,14.723815402074251,4.115087932832912,36.521212618990276,0.12974860653057715
